"region","species_name","cuid","cu_name_pse","year","estimated_count","observed_count"
"Skeena","Lake sockeye",171,"Alastair",1934,NA,0
"Skeena","Lake sockeye",171,"Alastair",1940,NA,0
"Skeena","Lake sockeye",171,"Alastair",1941,NA,0
"Skeena","Lake sockeye",171,"Alastair",1942,NA,0
"Skeena","Lake sockeye",171,"Alastair",1943,NA,0
"Skeena","Lake sockeye",171,"Alastair",1944,NA,0
"Skeena","Lake sockeye",171,"Alastair",1945,NA,0
"Skeena","Lake sockeye",171,"Alastair",1946,NA,0
"Skeena","Lake sockeye",171,"Alastair",1947,NA,25
"Skeena","Lake sockeye",171,"Alastair",1948,NA,26000
"Skeena","Lake sockeye",171,"Alastair",1949,NA,13000
"Skeena","Lake sockeye",171,"Alastair",1950,NA,13000
"Skeena","Lake sockeye",171,"Alastair",1951,NA,13500
"Skeena","Lake sockeye",171,"Alastair",1952,NA,18000
"Skeena","Lake sockeye",171,"Alastair",1953,NA,16000
"Skeena","Lake sockeye",171,"Alastair",1954,NA,20000
"Skeena","Lake sockeye",171,"Alastair",1955,NA,19250
"Skeena","Lake sockeye",171,"Alastair",1956,NA,26000
"Skeena","Lake sockeye",171,"Alastair",1957,NA,42900
"Skeena","Lake sockeye",171,"Alastair",1958,NA,44000
"Skeena","Lake sockeye",171,"Alastair",1959,NA,22500
"Skeena","Lake sockeye",171,"Alastair",1960,7770,3900
"Skeena","Lake sockeye",171,"Alastair",1961,29417,14250
"Skeena","Lake sockeye",171,"Alastair",1962,22079,10395
"Skeena","Lake sockeye",171,"Alastair",1963,19981,9000
"Skeena","Lake sockeye",171,"Alastair",1964,4218,2350
"Skeena","Lake sockeye",171,"Alastair",1965,17539,7900
"Skeena","Lake sockeye",171,"Alastair",1966,18649,8400
"Skeena","Lake sockeye",171,"Alastair",1967,27752,12500
"Skeena","Lake sockeye",171,"Alastair",1968,33302,15000
"Skeena","Lake sockeye",171,"Alastair",1969,6660,3000
"Skeena","Lake sockeye",171,"Alastair",1970,4995,2250
"Skeena","Lake sockeye",171,"Alastair",1971,2553,1150
"Skeena","Lake sockeye",171,"Alastair",1972,8881,4000
"Skeena","Lake sockeye",171,"Alastair",1973,8881,4000
"Skeena","Lake sockeye",171,"Alastair",1974,3885,1750
"Skeena","Lake sockeye",171,"Alastair",1975,1332,600
"Skeena","Lake sockeye",171,"Alastair",1976,6660,3000
"Skeena","Lake sockeye",171,"Alastair",1977,15541,7000
"Skeena","Lake sockeye",171,"Alastair",1978,19981,9000
"Skeena","Lake sockeye",171,"Alastair",1979,19981,9000
"Skeena","Lake sockeye",171,"Alastair",1980,33302,15000
"Skeena","Lake sockeye",171,"Alastair",1981,1998,900
"Skeena","Lake sockeye",171,"Alastair",1982,10546,4750
"Skeena","Lake sockeye",171,"Alastair",1983,14431,6500
"Skeena","Lake sockeye",171,"Alastair",1984,8881,4000
"Skeena","Lake sockeye",171,"Alastair",1985,8881,4000
"Skeena","Lake sockeye",171,"Alastair",1986,23311,10500
"Skeena","Lake sockeye",171,"Alastair",1987,11101,5000
"Skeena","Lake sockeye",171,"Alastair",1988,14431,6500
"Skeena","Lake sockeye",171,"Alastair",1989,16576,5500
"Skeena","Lake sockeye",171,"Alastair",1990,11101,5000
"Skeena","Lake sockeye",171,"Alastair",1991,24421,11000
"Skeena","Lake sockeye",171,"Alastair",1992,17761,8000
"Skeena","Lake sockeye",171,"Alastair",1993,16651,7500
"Skeena","Lake sockeye",171,"Alastair",1994,14431,6500
"Skeena","Lake sockeye",171,"Alastair",1995,18871,8500
"Skeena","Lake sockeye",171,"Alastair",1996,27752,12500
"Skeena","Lake sockeye",171,"Alastair",1997,26642,12000
"Skeena","Lake sockeye",171,"Alastair",1998,20536,5500
"Skeena","Lake sockeye",171,"Alastair",1999,5550,1000
"Skeena","Lake sockeye",171,"Alastair",2000,12087,3100
"Skeena","Lake sockeye",171,"Alastair",2001,19630,5400
"Skeena","Lake sockeye",171,"Alastair",2002,4346,2000
"Skeena","Lake sockeye",171,"Alastair",2003,64724,13500
"Skeena","Lake sockeye",171,"Alastair",2004,15951,0
"Skeena","Lake sockeye",171,"Alastair",2005,13324,4700
"Skeena","Lake sockeye",171,"Alastair",2006,11489,2400
"Skeena","Lake sockeye",171,"Alastair",2007,35091,11000
"Skeena","Lake sockeye",171,"Alastair",2008,985,400
"Skeena","Lake sockeye",171,"Alastair",2009,29550,10750
"Skeena","Lake sockeye",171,"Alastair",2010,79168,16850
"Skeena","Lake sockeye",171,"Alastair",2011,44309,10400
"Skeena","Lake sockeye",171,"Alastair",2012,36410,16400
"Skeena","Lake sockeye",171,"Alastair",2013,30504,8900
"Skeena","Lake sockeye",171,"Alastair",2014,11609,2840
